"","motion_no","title","proposed_by","tabled_dt","debate_dt","motion_text"
"76","NDM6095","NDM6095 - Assembly Debate","Simon Thomas",2016-09-14,2016-09-14,"To propose that the National Assembly for Wales:1. Notes that it is three years since the publication of Professor Sioned Davies's report, that recommended the removal of 'Welsh second language' and establishing one Welsh language learning continuum in its place.2. Notes that the First Minister's letter of December 2015 states his opinion that the concept of ""Welsh as a second language"" creates an artificial difference, and we are not of the view that it offers a useful basis for making policies for the future.3. Notes the importance of the education system in order to reach the Welsh Government's target of one million Welsh speakers.4. Regrets the decision of Qualifications Wales to keep the Welsh second language qualification for an unspecified time and therefore in order to ensure that no pupil is deprived of the skills to use the Welsh language, calls on the Welsh Government to:(a) outline a clear timetable for replacing the Welsh second language qualification with one new Welsh qualification for every pupil by 2018, which would mean examining the new qualification for the first time in 2020;  (b) adopt a strategy for targeting extra resources for teaching Welsh to trainee teachers, serving teachers, classroom assistants and other teaching practitioners;  and(c) invest substantially, and seriously plan, through a series of innovative initiatives, in order to quickly increase the number of education practitioners who teach through the medium of Welsh.'One Language for all: Review of Welsh second language in Key Stages 3 and 4''Letter from the First Minister, 4 December 2015' (Welsh only)"
"77","NDM6096","NDM6096 - Assembly Debate","Simon Thomas",2016-09-14,2016-09-14,"To propose that the National Assembly for Wales:Notes the importance of full membership of the European single market to the Welsh economy."
"78","NDM6097","NDM6097 - Government Debate","Jane Hutt",2016-09-20,2016-09-20,"To propose that the National Assembly for Wales:Notes the publication by the UK Government of the draft BBC Royal Charter and draft BBC Framework Agreement.'Draft BBC Royal Charter and draft BBC Framework Agreement'"
"79","NDM6098","NDM6098 - Government Debate","Rebecca Evans",2016-09-20,2016-09-20,"To propose that the National Assembly for Wales, in accordance with Standing Order 29.6 agrees that the provisions in the Policing and Crime Bill, which amend the Mental Health Act 1983 and the Sexual Offences Act 2003, in so far as they fall within the legislative competence of the National Assembly for Wales, should be considered by the UK Parliament.A Legislative Consent Memorandum has been laid in Table Office on 22 June 2016 in accordance with Standing Order 29.2(i) and (iii).'Policing and Crime Bill'"
"80","NDM6099","NDM6099 - Assembly Debate","Elin Jones",2016-09-20,2016-09-20,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects Rhun ap Iorwerth (Plaid Cymru) as a Member of the Business Committee in place of Simon Thomas (Plaid Cymru)."
"81","NDM6100","NDM6100 - Assembly Debate","Elin Jones",2016-09-20,2016-09-20,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects Nathan Gill (Independent) as a Member of the Constitutional and Legislative Affairs Committee in place of Michelle Brown (UKIP)."
"82","NDM6101","NDM6101 - Assembly Debate","Elin Jones",2016-09-20,2016-09-20,"To propose that the National Assembly for Wales, in accordance with Standing Order 7.9, appoints Adam Price (Plaid Cymru) as a member of the Assembly Commission in place of Dai Lloyd (Plaid Cymru)."
"83","NDM6102","NDM6102 - Assembly Debate","Paul Davies",2016-09-21,2016-09-21,"To propose that the National Assembly for Wales:1. Believes that the First Minister's Programme for Government does not provide the confidence or detail required to improve the life chances of people in communities across Wales.2. Calls on the Welsh Government to outline how it intends to deliver its Programme for Government within its budget. 'The Welsh Government's Programme for Government'"
"84","NDM6103","NDM6103 - Assembly Debate","Rhun ap Iorwerth",2016-09-21,2016-09-21,"To propose that the National Assembly for Wales:Believes that the Welsh Government should retain the nursing bursary as part of a wider programme to support more people from low income backgrounds into careers in the Welsh NHS."
"85","NDM6104","NDM6104 - Assembly Debate","Rhun ap Iorwerth",2016-09-21,2016-09-21,"To propose that the National Assembly for Wales:Calls on the Welsh Government to ensure that the supporting people programme is protected from any financial cuts over the term of this Assembly."
"86","NDM6105","NDM6105 - Short Debate","Eluned Morgan",2016-09-21,2016-09-21,"Future challenges for the care sector in Wales"
"87","NDM6106","NDM6106 - Government Debate","Jane Hutt",2016-09-27,2016-09-27,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:Approves that the draft The Government of Wales Act 1998 (Local Democracy and Boundary Commission for Wales) (Amendment) Order 2016 is made in accordance with the draft laid in the Table Office on 13 September 2016."
"88","NDM6107","NDM6107 - Government Debate","Jane Hutt",2016-09-27,2016-09-27,"To propose that the National Assembly for Wales, in accordance with Standing Order 11.21(ii):Notes the Welsh Government's priorities and legislative programme.'The Programme for Government''The Legislative Programme 2016-17'"
"89","NDM6108","NDM6108 - Short Debate","Huw Irranca-Davies",2016-09-28,2016-09-28,"The safety, storage and disposal of biomass and contaminated wood products by South Wales Wood Recycling."
"90","NDM6109","NDM6109 - Assembly Debate","Paul Davies",2016-09-28,2016-09-28,"To propose that the National Assembly for Wales:1. Notes the Welsh Government's decision to revoke the 'right to buy' initiative.2. Recognises that since 1980, when 'right to buy' was introduced in Wales, 130,000 families have been given the opportunity to buy their own council house, and that the people of Wales need to be trusted to make their own decisions on home ownership.3. Calls on the Welsh Government to recognise that 'right to buy' creates a valuable opportunity for people to own their own homes.4. Believes that the annual target for house building should be at least 14,000 homes a year by 2020, following the recommendations of the Federation of Master Builders in their Programme for Government: 2015 to 2020.'FMB Programme for Government: 2015 to 2020'"
"91","NDM6110","NDM6110 - Assembly Debate","Neil Hamilton",2016-09-28,2016-09-28,"To propose that the National Assembly for Wales:Believes that the HS2 project should be scrapped and the capital savings used to enhance the existing rail network, including:(a) fully funding the electrification of the south Wales main line, and the south Wales metro project; and(b) an extensive upgrading of the north Wales rail network."
"92","NDM6111","NDM6111 - Assembly Debate","Rhun ap Iorwerth",2016-09-28,2016-09-28,"To propose that the National Assembly for Wales:1. Calls on the Welsh Government to provide clarity regarding funding for Rural Development Plan projects post January 2017 and provide a more proactive approach to the current programme.2. Affirms that remaining part of the single market is the best current option to ensure tariff and quota free access to that market.3. Recognises the importance of migrant workers to the rural economy."
"93","NDM6112","NDM6112 - Assembly Debate","Rhun ap Iorwerth",2016-09-28,2016-09-28,"To propose that the National Assembly for Wales:1. Recognises the importance of a vibrant and diverse high street in supporting local enterprise.2. Regrets that the shop vacancy rate on our high streets is consistently higher than the UK average.3. Regrets the loss of community assets or local services as a result of low footfall on Welsh high streets.4. Calls on the Welsh Government to set up a new fund to enable local authorities and community groups to offer free car parking in towns throughout Wales, providing a vital boost to town centre regeneration."
"94","NDM6113","NDM6113 - Government Debate","Jane Hutt",2016-10-04,2016-10-04,"To propose that the National Assembly for Wales:1. Notes the progress made through the Welsh Government's Tackling Hate Crime Framework.2. Recognises, in light of recent events, the continuing challenges posed by hate crime.The Welsh Government's Tackling Hate Crime Framework"
"95","NDM6114","NDM6114 - Assembly Debate","Paul Davies",2016-10-05,2016-10-05,"To propose that the National Assembly for Wales:Recognises that there is a need for specific legislation for autism, and calls on the Welsh Government to bring forward an autism (Wales) bill during the fifth Assembly term."
"96","NDM6115","NDM6115 - Assembly Debate","Rhun ap Iorwerth",2016-10-05,2016-10-05,"To propose that the National Assembly for Wales: 1. Regrets that prejudice towards those who have, or have had, mental health problems continues, and the impact this can have on employment, income and well-being for those with mental health problems.2. Believes that education about mental health should start at a young age and schools should be equipped to promote well-being amongst all pupils.3. Calls on the Welsh Government to:a) continue to tackle prejudice and to seek powers over employment law so that protections for people with mental health problems at work can be strengthened; andb) ensure that all public services examine ways in which their own practices can be improved to contribute towards better mental health."
"97","NDM6116","NDM6116 - Short Debate","Joyce Watson",2016-10-05,2016-10-05,"Short Debate"
"98","NDM6117","NDM6117 - Government Debate","Jane Hutt",2016-10-11,2016-10-11,"To propose that the National Assembly for Wales:Acknowledges the Welsh Language Commissioner's Annual Report for 2015-16, which details the work undertaken by the Commissioner to promote and facilitate the use of the Welsh language.The Welsh Language Commissioner's Annual Report for 2015-16"
"99","NDM6118","NDM6118 - Short Debate","Neil McEvoy",2016-10-12,2016-10-12,"Short Debate"
"100","NDM6119","NDM6119 - Assembly Debate","Huw Irranca-Davies",2016-10-12,2016-10-12,"To propose that the National Assembly for Wales:Notes the report of the Constitutional and Legislative Affairs Committee on its inquiry on the UK Government's Wales Bill, laid in the Table Office on 6 October 2016."
"101","NDM6120","NDM6120 - Assembly Debate","Paul Davies",2016-10-12,2016-10-12,"To propose that the National Assembly for Wales:Resolves to establish a youth parliament for Wales."
